videoName,rotAngle,videoLength,firstTargets,secondTargets,clickedItemsfromFirstVid,clickedItemsfromSecondVid,respnseTimeFirstVid,respnseTimeSecondVid
"NO_2,1_10_1_1_45_315.avi",278,110,12,0,21,0,1.8339 2.5839 ,0
"NO_2,1_10_119_344_45_90.avi",117,110,3,4,1,4,3.4015 ,1.7918 
"OB_4,1_10_1_344_45_315.avi",283,110,3412,0,3124,0,1.4289 2.4697 3.5318 4.8029 ,0
"OB_2,10_10_114_229_0_135.avi",170,110,14,0,14,0,1.3 2.1238 ,0
"NO_4,10_10_229_344_0_315.avi",13,110,43,41,34,14,2.5904 5.1819 ,1.4844 3.4705 
"OB_2,1_10_1_1_45_0.avi",64,110,0,14,0,41,0,1.5539 3.2588 
"OC_4,1_10_119_344_0_247.5.avi",260,110,13,23,31,23,1.3595 4.0538 ,2.0526 3.3008 
"OB_OC_4,1_10_119_114_45_225.avi",171,110,342,1,241,1,1.725 2.7487 5.0779 ,4.0293 
"OC_4,1_10_119_344_45_90.avi",55,110,31,41,31,14,2.5267 4.7124 ,1.7293 3.0254 
"OB_4,1_10_119_229_45_225.avi",123,110,342,4,2144,4,1.2998 2.2677 3.1963 3.7957 ,4.6614 
"NO_2,10_10_1_114_0_270.avi",219,110,2,1,2,1,1.7196 ,2.7274 
"OB_2,1_10_1_1_45_225.avi",70,110,1,4,1,4,1.6783 ,3.4292 
"OC_4,1_10_1_1_0_157.5.avi",266,110,234,2,234,2,1.5417 2.734 4.0919 ,4.9641 
"OB_4,10_10_1_114_0_90.avi",88,110,43,14,43,41,4.0355 4.8828 ,1.0918 2.6367 
"OB_OC_2,1_10_119_344_45_135.avi",331,110,32,0,3,2,2.4757 ,1.419 
"OB_2,1_10_119_114_45_135.avi",97,110,12,0,21,0,1.0877 1.9773 ,0
"OC_4,1_10_1_1_0_247.5.avi",276,110,123,1,312,1,1.2183 2.0745 2.9462 ,3.8687 
"OB_OC_2,10_10_1_114_0_180.avi",68,110,14,0,14,0,1.7958 3.4265 ,0
"OB_OC_4,10_10_114_229_0_0.avi",104,110,14,32,42,12,2.8215 5.0117 ,1.7324 3.8443 
"OC_2,1_10_1_114_45_90.avi",33,110,4,1,4,1,2.985 ,1.5827 
"OC_2,10_10_114_229_0_225.avi",208,110,0,43,0,43,0,1.1582 2.2603 
"NO_4,10_10_1_229_0_90.avi",247,110,12,43,21,43,1.1911 5.0972 ,2.2632 3.4321 
"OB_4,10_10_1_229_0_225.avi",197,110,14,21,23,12,2.0144 4.2684 ,1.1961 3.1738 
"OC_4,10_10_1_229_0_157.5.avi",154,110,12,34,12,34,2.055 2.9028 ,1.4172 3.583 
"OB_OC_2,1_10_1_114_45_225.avi",232,110,1,1,3,1,1.8581 ,1.3603 
"NO_4,10_10_229_344_0_202.5.avi",234,110,34,14,34,14,1.9919 3.6799 ,1.2877 2.6641 
"OB_2,10_10_1_114_0_45.avi",245,110,1,1,1,1,2.1793 ,1.0598 
"OB_4,1_1_1_119_0_180.avi",229,110,34,42,43,24,2.1623 4.148 ,1.1475 2.9871 
"OC_4,1_10_1_344_45_135.avi",341,110,41,13,43,31,2.1594 4.2229 ,1.191 2.9747 
"NO_4,10_10_1_344_0_315.avi",76,110,12,41,12,41,1.8733 4.1393 ,2.8173 3.3225 
"OB_4,10_10_1_344_0_45.avi",256,110,142,4,241,4,1.1643 2.3242 3.5399 ,4.1643 
"NO_4,10_10_1_229_0_270.avi",86,110,12,42,12,24,1.6184 4.3232 ,2.3544 3.1772 
"OB_2,10_10_229_344_0_0.avi",43,110,43,0,34,0,1.3999 2.9268 ,0
"NO_4,1_10_1_229_45_135.avi",219,110,41,31,4,31,3.1951 ,1.8427 5.3464 
"NO_4,1_10_1_1_0_247.5.avi",163,110,123,1,12,12,1.3473 2.2569 ,2.8673 3.7614 
"OB_OC_4,10_10_114_229_0_45.avi",166,110,14,21,41,21,1.4289 3.5896 ,2.6068 4.4529 
"NO_2,10_10_1_229_0_180.avi",239,110,2,4,2,4,1.3433 ,2.2878 
"OC_2,10_10_114_344_0_315.avi",278,110,1,4,1,4,1.1467 ,1.6275 
"OB_OC_2,7_10_1_344_45_90.avi",127,110,4,4,4,4,1.8152 ,2.8404 
"OC_2,10_10_1_344_0_315.avi",239,110,1,4,1,4,3.8489 ,2.0891 
